Sales Record Number,Buyer Username,Buyer Country,Ship To City,Ship To State,Item Number,Item Title,SKU,Sold Via Promoted Listings,Quantity,Sold For,Item Location,Total Price,Sale Date,Minimum Estimated Delivery Date,Maximum Estimated Delivery Date,Shipped On Date,Feedback Received,Shipping Service,Cancel_Order
16020,brblank-75,United States,Oceana,WV,133851096511,"Coca-Cola Soda Soft Drink, 12 fl oz, 35 Pack",049000058468-C-P-L2-10.49,No,1.0,39.95,"Arlington Heights, Illinois",42.35,2024-02-29,2024-03-08,2024-03-08,2024-03-01,No Feedback,USPS Ground Advantage,No
16019,2011superchief,United States,Marceline,MO,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,77.99,"Arlington Heights, Illinois",82.26,2024-02-29,2024-03-05,2024-03-08,2024-03-01,positive,USPS Priority Mail Flat Rate Envelope,No
16018,vettsh-0,United States,Whittier,CA,133545957886,Natural Duraflame Fire Logs 6 Lb - Case of 9,041137009078-C-P-L1-32.99,No,2.0,75.99,"Arlington Heights, Illinois",167.56,2024-02-29,2024-03-05,2024-03-09,2024-03-01,No Feedback,USPS Ground Advantage,No
16017,whizzy1,United States,merritt island,FL,134725756844,Starbucks Limited Edition 2021 Holiday Blend K-Cup Pods - 72 count,050000563319-C-P-L3-31.98,No,1.0,51.9,"Arlington Heights, Illinois",0.0,2024-02-29,2024-03-04,2024-03-04,2024-02-29,No Feedback,USPS Ground Advantage,Yes
16016,base0123,United States,New Haven,CT,134743149495,"Topo Chico Twist of Lime Sparkling Mineral Water 16.9 fl. oz., 18 ct",021136180664-CB-P-L3-20.99,No,2.0,52.99,"Arlington Heights, Illinois",105.98,2024-02-27,2024-03-09,2024-03-09,2024-02-28,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16015,le64761,Canada,Glendale Heights,IL,134943527073,Giant Connect 4: Hasbro's Original Connect4 Game Super-Sized - 46.5 inch All-...,840281710690-C-A-L1-69.99,No,1.0,129.95,"Schaumburg, Illinois",146.84,2024-02-27,2024-03-12,2024-03-18,2024-02-27,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16014,desertcat12,United States,Las Vegas,NV,134953361510,Popcorn Caramel Cluster Member's Mark 16 oz,193968357313-S-F-L2-7.28,No,1.0,21.9,"Schaumburg, Illinois",21.9,2024-02-27,2024-03-08,2024-03-08,2024-02-27,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16013,megar-6867,United States,North Anson,ME,134941341697,El Milagro Corn Tortillas Maiz - 24 Packs - PAPER - Always Fresh - Priority Ship,038622621174-S-P-L2-12.48,No,1.0,34.95,"Schaumburg, Illinois",36.87,2024-02-26,2024-03-02,2024-03-02,2024-02-26,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16012,susan2012-47,United States,Van Horn,TX,134047446093,"Dixie Ultra 10 1/16"" Dinner Plates, White, 186 Count",078731968166-CB-P-L1-20.99,No,1.0,38.99,"Elk Grove Village, Illinois",42.11,2024-02-25,2024-03-04,2024-03-04,2024-02-26,positive,USPS Priority Mail,No
16011,jakethejumbogiant,United States,Mapleton,ND,133282951865,"Cambro Set of 2 Square Food Storage Containers with Lids, 8 Quart",099511343409-CB-F-L1-14.99,No,1.0,34.99,"Arlington Heights, Illinois",37.44,2024-02-25,2024-03-04,2024-03-04,2024-02-26,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16010,krikorn-38,United States,Saint James,NY,134934744238,Garden Veggie Snacks Mini Hearts (40 pk.),829515326289-S-F-L1-14.98,No,1.0,33.99,"Schaumburg, Illinois",33.99,2024-02-25,2024-03-05,2024-03-05,2024-02-26,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16009,juliwilliam-54,United States,Sandy,UT,133545957886,Natural Duraflame Fire Logs 6 Lb - Case of 9,041137009078-C-P-L1-32.99,No,3.0,69.99,"Arlington Heights, Illinois",225.19,2024-02-24,2024-03-02,2024-03-02,2024-02-26,positive,USPS Ground Advantage,No
16008,dirtbiker9,United States,durango,CO,134527355474,"Morton Table Salt, Non Iodized Salt, 25 Pound",024600011020-CB-P-L2-6.49,No,1.0,35.99,"Arlington Heights, Illinois",36.71,2024-02-24,2024-03-04,2024-03-04,2024-02-26,No Feedback,USPS Ground Advantage,No
16007,labur_82,United States,Millers Creek,NC,133282951865,"Cambro Set of 2 Square Food Storage Containers with Lids, 8 Quart",099511343409-CB-F-L1-14.99,No,1.0,34.99,"Arlington Heights, Illinois",37.44,2024-02-21,2024-02-27,2024-02-27,2024-02-22,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16006,dee2900,United States,Scotch Plains,NJ,133851124992,Premium Dog Biscuits Chicken Meal & Rice Forumla All Sizes & Breeds - 15 lbs.,096619110438-C-P-L1-17.69,No,1.0,38.15,"Arlington Heights, Illinois",40.68,2024-02-21,2024-02-26,2024-02-26,2024-02-21,No Feedback,USPS Ground Advantage,No
16005,bobhroland,United States,Naples,FL,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,2.0,77.99,"Arlington Heights, Illinois",155.98,2024-02-19,2024-02-23,2024-02-23,2024-02-20,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16004,noro-6538,United States,Windsor,CO,134941341697,El Milagro Corn Tortillas Maiz - 24 Packs - PAPER - Always Fresh - Priority Ship,038622621174-S-P-L2-12.48,No,1.0,34.95,"Schaumburg, Illinois",36.23,2024-02-19,2024-02-23,2024-02-23,2024-02-19,positive,USPS Priority Mail Flat Rate Envelope,No
16003,lizardsong7,United States,Lake Zurich,IL,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,2.0,64.99,"Arlington Heights, Illinois",139.08,2024-02-15,2024-02-17,2024-02-17,2024-02-16,No Feedback,USPS Ground Advantage,No
16002,edad2000,United States,Denver,CO,134281563525,Hoody's Peanut Butter Chocolate Mix - 2 Pack,041616202037-C-P-L2-19.98,No,1.0,36.99,"Arlington Heights, Illinois",38.75,2024-02-15,2024-02-22,2024-02-22,2024-02-16,positive,USPS Ground Advantage,No
16001,7enough,United States,Lead,SD,134609868012,"Gourmet Kitchn Natures Bakery Whole Wheat Fig Bars - 2 Twin Pack Boxes, 64 Bars",0474956110048-C-P-L2-18.28,No,1.0,42.99,"Arlington Heights, Illinois",44.8,2024-02-15,2024-02-20,2024-02-20,2024-02-16,No Feedback,USPS Ground Advantage,No
16000,eastern_liquidator,United States,Feasterville,PA,133801733970,"Nachos Jalapeno Peppers Sliced 64 fl Oz/4 lb. Kosher, Spicy- PK of 2 Glass Jars",076397105154-S-P-L1-7.96,No,1.0,24.9,"Arlington Heights, Illinois",24.9,2024-02-14,2024-02-20,2024-02-20,2024-02-15,positive,USPS Ground Advantage,No
15999,jesse777744,United States,Van Buren Twp,MI,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,77.99,"Arlington Heights, Illinois",77.99,2024-02-14,2024-02-17,2024-02-17,2024-02-15,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15998,ugber-0,United States,San Antonio,TX,134047804145,Bioblas Hair Loss Garlic Shampoo for Men and Women ...[1],8680512628590,No,1.0,11.85,"Schaumburg, Illinois",12.83,2024-02-11,2024-02-16,2024-02-16,2024-02-12,No Feedback,USPS Priority Mail,No
15997,brbol-8505,United States,FORSYTH,GA,134527355474,"Morton Table Salt, Non Iodized Salt, 25 Pound",024600011020-CB-P-L2-6.49,No,1.0,35.99,"Arlington Heights, Illinois",37.43,2024-02-11,2024-02-16,2024-02-16,2024-02-12,No Feedback,USPS Ground Advantage,No
15996,stine_an,United States,Lincoln,RI,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,2.0,77.99,"Arlington Heights, Illinois",155.98,2024-02-11,2024-02-20,2024-02-20,2024-02-12,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15995,ablam_us,United States,Milwaukee,WI,134528920141,Member's Mark Thai Jasmine Rice (50 lb.),078742292984-S-P-L1-35.96,No,3.0,79.99,"Arlington Heights, Illinois",239.97,2024-02-11,2024-02-20,2024-02-20,2024-02-12,No Feedback,USPS Ground Advantage,No
15994,su-2165,United States,Kings Mountain,NC,134235280180,Tommy Bahama Backpack Beach Chair 2 Pack (Tropical Sunset),5456887654333-C-P-L1-79.98,No,1.0,107.99,"Arlington Heights, Illinois",115.28,2024-02-10,2024-02-23,2024-02-23,2024-02-12,No Feedback,USPS Ground Advantage,No
15993,ubuy_llc,United States,Erlanger,KY,134025492730,"Kraft, Lite, Classic Catalina Dressing, 16oz Bottle (Pack of 3)",021000644469-W-F-L1-5.94,No,3.0,21.99,"Elk Grove Village, Illinois",0.0,2024-02-09,2024-02-15,2024-02-21,2024-02-12,No Feedback,USPS Ground Advantage,Yes
15992,se_84112,United States,Fayville,MA,134609868012,"Gourmet Kitchn Natures Bakery Whole Wheat Fig Bars - 2 Twin Pack Boxes, 64 Bars",0474956110048-C-P-L2-18.28,No,1.0,35.99,"Arlington Heights, Illinois",35.99,2024-02-09,2024-02-13,2024-02-13,2024-02-09,No Feedback,USPS Ground Advantage,No
15991,sa_63743,United States,Bend,OR,133343494774,"Diamond Strike-A-Fire Fire Starter, 48 Count, 2 Pack ",048789110251-W-P-L2-27.98,No,1.0,47.99,"Arlington Heights, Illinois",47.99,2024-02-08,2024-02-15,2024-02-15,2024-02-09,No Feedback,USPS Ground Advantage,No
15990,vonte-67,United States,alton,ME,134079489730,12 PACK - COLEMAN PROPANE 16.4OZ,014045324236-S-P-L2-60.00,No,1.0,107.99,"Arlington Heights, Illinois",0.0,2024-02-07,2024-02-13,2024-02-17,2024-02-07,No Feedback,USPS Ground Advantage,Yes
15989,zam_98617,United States,SAN DIEGO,CA,133591059584,"Kirkland Signature Extra-Large Absorbent Pads, 200 Large Pads, 30x23",096619966692-C-P-L1-33.98,No,1.0,64.95,"Arlington Heights, Illinois",69.98,2024-02-06,2024-02-12,2024-02-16,2024-02-07,No Feedback,USPS Ground Advantage,No
15988,giovy1992,United States,Bridgeport,CT,133591059584,"Kirkland Signature Extra-Large Absorbent Pads, 200 Large Pads, 30x23",096619966692-C-P-L1-35.98,No,1.0,59.95,"Arlington Heights, Illinois",63.76,2024-02-05,2024-02-10,2024-02-10,2024-02-06,No Feedback,USPS Ground Advantage,No
15987,juju3120,United States,Cookeville,TN,134689331264,"Volcano Juice Lemon Org, 1 Liter 33.8 Ounce (Pack of 6)",810533009933-C-P-L1-29.40,No,1.0,50.99,"Arlington Heights, Illinois",55.96,2024-02-05,2024-02-12,2024-02-12,2024-02-06,positive,USPS Ground Advantage,No
15986,kouada1,United States,Wirtz,VA,134079489730,12 PACK - COLEMAN PROPANE 16.4OZ,014045324236-S-P-L2-60.00,No,1.0,85.99,"Arlington Heights, Illinois",0.0,2024-02-05,2024-02-09,2024-02-14,2024-02-05,No Feedback,USPS Ground Advantage,Yes
15985,gkim999,United States,Lafayette,CA,133847310446,"Kirkland Daily Facial Towelettes, 180 CT ",096619070978-C-P-L1-12.99,No,1.0,29.75,"Arlington Heights, Illinois",0.0,2024-02-04,2024-02-20,2024-02-20,2024-02-05,No Feedback,USPS Ground Advantage,Yes
15984,dallasdiva13,United States,Warren,NJ,133847310446,"Kirkland Daily Facial Towelettes, 180 CT ",096619070978-C-P-L1-12.99,No,1.0,29.75,"Arlington Heights, Illinois",0.0,2024-02-04,2024-02-17,2024-02-17,2024-02-05,positive,USPS Ground Advantage,Yes
15983,kann79,United States,Prescott,AZ,133847310446,"Kirkland Daily Facial Towelettes, 180 CT ",096619070978-C-P-L1-12.99,No,1.0,29.75,"Arlington Heights, Illinois",0.0,2024-02-04,2024-02-20,2024-02-20,2024-02-05,No Feedback,USPS Ground Advantage,Yes
15982,rumor-240,United States,Elk River,MN,133847310446,"Kirkland Daily Facial Towelettes, 180 CT ",096619070978-C-P-L1-12.99,No,1.0,29.75,"Arlington Heights, Illinois",0.0,2024-02-04,2024-02-16,2024-02-16,2024-02-05,negative,USPS Ground Advantage,Yes
15981,jjoo249,United States,Cape Coral,FL,134689331264,"Volcano Juice Lemon Org, 1 Liter 33.8 Ounce (Pack of 6)",810533009933-C-P-L1-29.40,No,1.0,50.99,"Arlington Heights, Illinois",54.3,2024-02-03,2024-02-12,2024-02-12,2024-02-05,No Feedback,USPS Ground Advantage,No
15980,robzen_88,United States,Union City,CA,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,61.99,"Arlington Heights, Illinois",61.99,2024-02-02,2024-02-12,2024-02-12,2024-02-05,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15979,matchgame112,United States,East Windsor,NJ,133410980204,"Snack Factory Pretzel Crisps Dark Chocolate Crunch,36 Oz - (2 -18oz Bags",04950800833-S-F-L3-17.16,No,1.0,34.15,"Arlington Heights, Illinois",34.15,2024-02-02,2024-02-12,2024-02-12,2024-02-05,positive,USPS Priority Mail Flat Rate Envelope,No
15978,greattobeagirl,United States,La Mesa,CA,133847310446,"Kirkland Daily Facial Towelettes, 180 CT ",096619070978-C-P-L1-12.99,No,1.0,29.75,"Arlington Heights, Illinois",0.0,2024-02-02,2024-02-17,2024-02-17,2024-02-05,No Feedback,USPS Ground Advantage,Yes
15977,lorcra-0,United States,omaha,NE,134503079949,"Diet Coke Soda Soft Drink, 12 fl oz, 35 Pack",049000058475-S-P-L1-17.89,No,1.0,37.99,"Arlington Heights, Illinois",40.65,2024-02-02,2024-02-08,2024-02-13,2024-02-05,positive,USPS Ground Advantage,No
15976,winsted,United States,fremont,CA,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,61.99,"Arlington Heights, Illinois",0.0,2024-02-02,2024-02-12,2024-02-12,2024-02-05,No Feedback,USPS Priority Mail Flat Rate Envelope,Yes
15975,wqg_ytc,United States,Oakland,CA,133802225093,"Martinelli's Apple Juice Pet, 10-Ounce (24 Pack)",041244241088-CB-P-L1-23.99,No,1.0,47.95,"Arlington Heights, Illinois",52.86,2024-02-02,2024-02-09,2024-02-14,2024-02-02,positive,USPS Ground Advantage,No
15974,barbara201249,United States,Versailles ,MO,134100532382,One Degree Gluten Free Sprouted Rolled Oats 5 lbs.,675625371189-C-P1-9.99,No,1.0,25.99,"Arlington Heights, Illinois",26.57,2024-02-02,2024-02-13,2024-02-13,2024-02-02,No Feedback,USPS Ground Advantage,No
15973,marlgar30,United States,North Bergen,NJ,134528920141,Member's Mark Thai Jasmine Rice (50 lb.),078742292984-S-P-L1-35.96,No,1.0,60.99,"Arlington Heights, Illinois",60.99,2024-02-01,2024-02-12,2024-02-12,2024-02-02,No Feedback,USPS Ground Advantage,No
15972,rturn2.2000-7,United States,Sweet Home,OR,134079489730,12 PACK - COLEMAN PROPANE 16.4OZ,014045324236-S-P-L2-60.00,No,2.0,85.99,"Arlington Heights, Illinois",171.98,2024-01-31,2024-02-06,2024-02-10,2024-02-01,No Feedback,USPS Ground Advantage,No
15971,gliva-93,United States,Midwest City,OK,133847310446,"Kirkland Daily Facial Towelettes, 180 CT ",096619070978-C-P-L1-12.99,No,1.0,29.75,"Arlington Heights, Illinois",32.46,2024-01-31,2024-02-17,2024-02-17,2024-02-02,positive,USPS Ground Advantage,No
15970,glad_95943,United States,Revere,MA,134047804145,Bioblas Hair Loss Garlic Shampoo for Men and Women ...[1],8680512628590,No,2.0,11.85,"Schaumburg, Illinois",25.18,2024-01-30,2024-02-03,2024-02-08,2024-01-31,No Feedback,USPS Priority Mail,No
15969,arm196666,United States,Las Vegas,NV,133851124992,Premium Dog Biscuits Chicken Meal & Rice Forumla All Sizes & Breeds - 15 lbs.,096619110438-C-P-L1-17.69,No,1.0,38.15,"Arlington Heights, Illinois",41.35,2024-01-30,2024-02-03,2024-02-08,2024-01-31,No Feedback,USPS Ground Advantage,No
15968,jtv10,United States,Delray Beach,FL,133847310446,"Kirkland Daily Facial Towelettes, 180 CT ",096619070978-C-P-L1-12.99,No,1.0,29.75,"Arlington Heights, Illinois",0.0,2024-01-29,2024-02-17,2024-02-17,2024-01-30,No Feedback,USPS Ground Advantage,Yes
15967,cornycl837,United States,Columbus,NM,134045385774,Cheese Fruit and Nut Packs,096619301478-C-P-L1-11.99,No,1.0,27.19,"Elk Grove Village, Illinois",27.19,2024-01-28,2024-02-02,2024-02-02,2024-01-29,No Feedback,USPS Priority Mail,No
15966,jtbpat,United States,Pasco,WA,133900092939,"Farmland Traditions Dogs Love Chicken Premium Jerky Treats for Dogs, 3 lb. Bag",884713001314-C-P-L2-20.99,No,5.0,38.99,"Arlington Heights, Illinois",212.3,2024-01-28,2024-02-02,2024-02-02,2024-01-29,positive,USPS Ground Advantage,No
15965,mseilstad,United States,Las Vegas,NV,133830204479,"Kirkland Signature Jasmine Rice, 50 Pound",096619698332-C-P-L1-34.98,No,1.0,60.0,"Arlington Heights, Illinois",60.0,2024-01-27,2024-02-02,2024-02-02,2024-01-29,No Feedback,USPS Ground Advantage,No
15964,2011*bigb,United States,solway,MN,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,61.99,"Arlington Heights, Illinois",61.99,2024-01-27,2024-02-01,2024-02-01,2024-01-29,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15963,us35342905,United States,Yuma,AZ,134519914091,10 PACK - COLEMAN PROPANE 16.4OZ,014045324236-S-P-L2-50.00,No,1.0,75.99,"Arlington Heights, Illinois",82.38,2024-01-27,2024-02-02,2024-02-02,2024-01-29,positive,USPS Ground Advantage,No
15962,wamat6474,United States,Angier,NC,134079489730,12 PACK - COLEMAN PROPANE 16.4OZ,014045324236-S-P-L2-60.00,No,1.0,85.99,"Arlington Heights, Illinois",92.01,2024-01-26,2024-02-05,2024-02-05,2024-01-29,No Feedback,USPS Ground Advantage,No
15961,bobdiya00,United States,Fennville,MI,133851086590,"Kirkland Signature Imported Basil Pesto, 22 oz",301155215470-C-F-L2-9.99,No,1.0,27.75,"Arlington Heights, Illinois",27.75,2024-01-26,2024-02-01,2024-02-01,2024-01-29,No Feedback,USPS Ground Advantage,No
15960,rach4499,United States,Lake Orion,MI,133801069916,"Popcorners Salt of the Earth, Crispy and Crunchy Popped Corn Chips, 1oz Bag X 24",810607020840-C-F-L1-10.32,No,2.0,25.99,"Arlington Heights, Illinois",51.98,2024-01-25,2024-01-29,2024-01-29,2024-01-25,No Feedback,USPS Ground Advantage,No
15959,mjohn_5,United States,Forest City,NC,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",54.56,2024-01-24,2024-01-29,2024-02-02,2024-01-25,No Feedback,USPS Ground Advantage,No
15958,redryanredryan,United States,South Lake Tahoe,CA,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",55.45,2024-01-23,2024-02-03,2024-02-03,2024-01-24,No Feedback,USPS Ground Advantage,No
15957,lawdar,United States,North Hampton,NH,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",50.99,2024-01-23,2024-02-02,2024-02-02,2024-01-24,No Feedback,USPS Ground Advantage,No
15956,lightbearer01,United States,BELLEVUE,NE,133267091130,"3 PACK Tassos All Natural Double Stuffed Jalapeno, Garlic Super Olive (35.27 oz",652878008635-C-P-L3-20.37,No,1.0,37.95,"Arlington Heights, Illinois",37.95,2024-01-23,2024-01-27,2024-01-27,2024-01-24,No Feedback,USPS Priority Mail,No
15955,avipear1,United States,Baltimore,MD,134495677423,Libman 2125 Step-On Dust Pan with Molded Cleaning Teeth,071736021256-MD-F-L1-8.39,No,1.0,25.99,"Arlington Heights, Illinois",27.55,2024-01-22,2024-01-27,2024-02-01,2024-01-23,No Feedback,USPS Ground Advantage,No
15954,guistagirls,United States,Santa Maria,CA,134495677423,Libman 2125 Step-On Dust Pan with Molded Cleaning Teeth,071736021256-MD-F-L1-8.39,No,1.0,25.99,"Arlington Heights, Illinois",28.0,2024-01-22,2024-02-02,2024-02-02,2024-01-23,No Feedback,USPS Ground Advantage,No
15953,3saintsbay,United States,seattle,WA,134495677423,Libman 2125 Step-On Dust Pan with Molded Cleaning Teeth,071736021256-MD-F-L1-8.39,No,1.0,25.99,"Arlington Heights, Illinois",28.65,2024-01-22,2024-02-05,2024-02-05,2024-01-23,No Feedback,USPS Ground Advantage,No
15952,flukeguys,United States,Palouse,WA,134079489730,12 PACK - COLEMAN PROPANE 16.4OZ,014045324236-S-P-L2-60.00,No,4.0,85.99,"Arlington Heights, Illinois",371.13,2024-01-22,2024-01-27,2024-01-27,2024-01-22,No Feedback,USPS Ground Advantage,No
15951,craybailey,United States,Plymouth,IN,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",54.56,2024-01-21,2024-01-25,2024-01-25,2024-01-22,No Feedback,USPS Ground Advantage,No
15950,cristyyeti64,United States,Kerrville,TX,134495677423,Libman 2125 Step-On Dust Pan with Molded Cleaning Teeth,071736021256-MD-F-L1-8.39,No,1.0,25.99,"Arlington Heights, Illinois",27.74,2024-01-21,2024-01-26,2024-01-26,2024-01-22,No Feedback,USPS Ground Advantage,No
15949,wildcatmickey,United States,NASHVILLE,TN,134281563525,Hoody's Peanut Butter Chocolate Mix - 2 Pack,041616202037-C-P-L2-19.98,No,2.0,36.99,"Arlington Heights, Illinois",80.82,2024-01-21,2024-01-29,2024-01-29,2024-01-22,No Feedback,USPS Ground Advantage,No
15948,hootervilleaudra,United States,Blue Mounds,WI,134609868012,"Gourmet Kitchn Natures Bakery Whole Wheat Fig Bars - 2 Twin Pack Boxes, 64 Bars",0474956110048-C-P-L2-18.28,No,1.0,35.99,"Arlington Heights, Illinois",35.99,2024-01-21,2024-01-26,2024-01-31,2024-01-22,No Feedback,USPS Ground Advantage,No
15947,rel1225,United States,Bridgewater,MA,133545957886,Natural Duraflame Fire Logs 6 Lb - Case of 9,041137009078-C-P-L1-32.99,No,1.0,65.99,"Arlington Heights, Illinois",70.11,2024-01-21,2024-01-27,2024-02-01,2024-01-22,No Feedback,USPS Ground Advantage,No
15946,gfmott99,United States,Diboll,TX,134079489730,12 PACK - COLEMAN PROPANE 16.4OZ,014045324236-S-P-L2-60.00,No,1.0,85.99,"Arlington Heights, Illinois",93.08,2024-01-21,2024-01-26,2024-01-31,2024-01-22,No Feedback,USPS Ground Advantage,No
15945,rochellreimer0,United States,Green Valley,AZ,134124558218,Kirkland Signature Super Premium Maintenance Cat Food,096619522965-C-P-L1-23.99,No,1.0,47.99,"Arlington Heights, Illinois",50.92,2024-01-21,2024-01-27,2024-01-27,2024-01-22,No Feedback,USPS Ground Advantage,No
15944,korshun-us,United States,Shoreline,WA,134527355474,"Morton Table Salt, Non Iodized Salt, 25 Pound",024600011020-CB-P-L2-6.49,No,1.0,37.99,"Arlington Heights, Illinois",37.99,2024-01-20,2024-01-25,2024-01-25,2024-01-22,positive,USPS Ground Advantage,No
15943,veste-967,United States,Kennedale,TX,134739251201,Conair Tabletop Mount Reflections LED Lighted Magnifying Mirror (BE21GD),074108479747-C-P-L2-29.99,No,1.0,64.99,"Arlington Heights, Illinois",70.35,2024-01-19,2024-02-01,2024-02-01,2024-01-22,negative,USPS Priority Mail Flat Rate Envelope,No
15942,nom5657,United States,Eugene,OR,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",50.99,2024-01-19,2024-01-26,2024-01-26,2024-01-22,No Feedback,USPS Ground Advantage,No
15941,tttmic5,United States,Aiken,SC,134735906357,Ritz Handi Snacks Crackers 'n Cheese Dip - 30 SNACK PACKS of 0.95 oz,044000038113-CB-F-L2-12.99,No,1.0,28.16,"Arlington Heights, Illinois",28.16,2024-01-19,2024-01-29,2024-01-29,2024-01-22,positive,USPS Ground Advantage,No
15940,trucknutdan,United States,tobyhanna,PA,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",54.05,2024-01-18,2024-01-28,2024-01-28,2024-01-19,No Feedback,USPS Ground Advantage,No
15939,bob_davis321,United States,Arcade,NY,134100532382,One Degree Gluten Free Sprouted Rolled Oats 5 lbs.,675625371189-C-P1-9.99,No,1.0,25.99,"Arlington Heights, Illinois",25.99,2024-01-18,2024-01-26,2024-01-26,2024-01-19,positive,USPS Ground Advantage,No
15938,kari_4482,United States,Weirton,WV,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,61.99,"Arlington Heights, Illinois",61.99,2024-01-17,2024-01-22,2024-01-22,2024-01-18,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15937,adkins_auto_parts,United States,craigsville,WV,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",50.99,2024-01-17,2024-01-22,2024-01-26,2024-01-18,No Feedback,USPS Ground Advantage,No
15936,ritch_223,United States,Lubbock,TX,133446660373,Famous Dave's Signature Spicy Pickles 24oz  (Pack of 3,780993787798-W-P-L1-12.00,No,1.0,27.95,"Arlington Heights, Illinois",27.95,2024-01-17,2024-01-26,2024-01-26,2024-01-18,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15935,ger_603922,United States,Trinity Center,CA,133830204479,"Kirkland Signature Jasmine Rice, 50 Pound",096619698332-C-P-L1-34.98,No,2.0,60.0,"Arlington Heights, Illinois",120.0,2024-01-17,2024-01-23,2024-01-27,2024-01-18,No Feedback,USPS Ground Advantage,No
15934,towman395,United States,Bishop,CA,134735906357,Ritz Handi Snacks Crackers 'n Cheese Dip - 30 SNACK PACKS of 0.95 oz,044000038113-CB-F-L2-12.99,No,2.0,28.16,"Arlington Heights, Illinois",56.32,2024-01-16,2024-01-23,2024-01-23,2024-01-17,positive,USPS Ground Advantage,No
15933,torreus_iru3efaus,United States,Mound House,NV,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",54.61,2024-01-16,2024-01-22,2024-01-22,2024-01-17,No Feedback,USPS Ground Advantage,No
15932,rodtom_0,United States,Sterling Heights,MI,134047804145,Bioblas Hair Loss Garlic Shampoo for Men and Women ...[1],8680512628590,No,1.0,11.85,"Schaumburg, Illinois",12.56,2024-01-16,2024-01-22,2024-01-22,2024-01-17,No Feedback,USPS Priority Mail,No
15931,amaof5,United States,Perrysburg,OH,134281563525,Hoody's Peanut Butter Chocolate Mix - 2 Pack,041616202037-C-P-L2-19.98,No,1.0,36.99,"Arlington Heights, Illinois",36.99,2024-01-16,2024-01-22,2024-01-22,2024-01-17,positive,USPS Ground Advantage,No
